time,waist,shoulder,elbow,wrist_angle,wrist_rotate,ee_x,ee_y,ee_z
0.0000,-0.001534,0.055223,0.124252,0.024544,0.000000,0.413036,-0.000634,0.233929
0.0200,-0.001422,0.056544,0.126501,0.024742,-0.000003,0.413045,-0.000587,0.232562
0.0400,-0.000669,0.058554,0.129973,0.025465,-0.000009,0.413033,-0.000276,0.230399
0.0600,0.000665,0.060265,0.132670,0.026543,-0.000014,0.413015,0.000275,0.228578
0.0800,0.002376,0.061477,0.134175,0.027331,-0.000018,0.413025,0.000981,0.227427
0.1000,0.004317,0.062223,0.134650,0.027634,-0.000019,0.413068,0.001783,0.226905
0.1200,0.006399,0.062581,0.134691,0.027740,-0.000020,0.413100,0.002643,0.226727
0.1400,0.008564,0.062759,0.134545,0.027792,-0.000019,0.413124,0.003538,0.226696
0.1600,0.010779,0.062885,0.134029,0.027811,-0.000019,0.413169,0.004454,0.226822
0.1800,0.013025,0.062962,0.133157,0.027803,-0.000019,0.413232,0.005383,0.227097
0.2000,0.015288,0.063004,0.132021,0.027771,-0.000018,0.413309,0.006319,0.227483
0.2200,0.017561,0.063038,0.130705,0.027716,-0.000018,0.413397,0.007260,0.227940
0.2400,0.019837,0.063071,0.129281,0.027637,-0.000017,0.413490,0.008204,0.228438
0.2600,0.022116,0.063105,0.127792,0.027535,-0.000017,0.413586,0.009148,0.228963
0.2800,0.024394,0.063141,0.126260,0.027411,-0.000016,0.413683,0.010093,0.229505
0.3000,0.026671,0.063179,0.124700,0.027266,-0.000016,0.413780,0.011039,0.230060
0.3200,0.028947,0.063226,0.123122,0.027057,-0.000015,0.413879,0.011984,0.230627
0.3400,0.031221,0.063294,0.121530,0.026697,-0.000015,0.413983,0.012929,0.231215
0.3600,0.033492,0.063378,0.119921,0.026199,-0.000014,0.414092,0.013874,0.231823
0.3800,0.035762,0.063478,0.118293,0.025603,-0.000014,0.414204,0.014819,0.232447
0.4000,0.038030,0.063591,0.116646,0.024940,-0.000013,0.414318,0.015764,0.233083
0.4200,0.040295,0.063719,0.114983,0.024234,-0.000013,0.414433,0.016709,0.233725
0.4400,0.042559,0.063861,0.113307,0.023500,-0.000013,0.414548,0.017653,0.234370
0.4600,0.044820,0.064019,0.111618,0.022748,-0.000012,0.414664,0.018598,0.235017
0.4800,0.047079,0.064192,0.109917,0.021984,-0.000012,0.414779,0.019542,0.235663
0.5000,0.049336,0.064380,0.108205,0.021211,-0.000011,0.414893,0.020486,0.236309
0.5200,0.051590,0.064582,0.106480,0.020431,-0.000011,0.415008,0.021429,0.236955
0.5400,0.053843,0.064800,0.104743,0.019644,-0.000011,0.415122,0.022373,0.237599
0.5600,0.056093,0.065033,0.102994,0.018851,-0.000010,0.415235,0.023316,0.238243
0.5800,0.058341,0.065280,0.101232,0.018053,-0.000010,0.415348,0.024259,0.238887
0.6000,0.060587,0.065542,0.099457,0.017249,-0.000010,0.415460,0.025202,0.239531
0.6200,0.062831,0.065818,0.097668,0.016439,-0.000009,0.415573,0.026145,0.240174
0.6400,0.065072,0.066109,0.095867,0.015624,-0.000009,0.415684,0.027088,0.240816
0.6600,0.067311,0.066414,0.094052,0.014803,-0.000009,0.415795,0.028030,0.241459
0.6800,0.069547,0.066734,0.092224,0.013977,-0.000009,0.415906,0.028972,0.242101
0.7000,0.071782,0.067069,0.090382,0.013146,-0.000008,0.416016,0.029914,0.242743
0.7200,0.074013,0.067418,0.088527,0.012309,-0.000008,0.416126,0.030855,0.243384
0.7400,0.076243,0.067782,0.086659,0.011467,-0.000008,0.416236,0.031797,0.244026
0.7600,0.078470,0.068160,0.084777,0.010619,-0.000008,0.416345,0.032738,0.244667
0.7800,0.080694,0.068553,0.082881,0.009766,-0.000007,0.416453,0.033679,0.245307
0.8000,0.082916,0.068961,0.080972,0.008908,-0.000007,0.416561,0.034619,0.245948
0.8200,0.085136,0.069383,0.079049,0.008045,-0.000007,0.416669,0.035559,0.246588
0.8400,0.087353,0.069820,0.077113,0.007176,-0.000007,0.416776,0.036499,0.247227
0.8600,0.089567,0.070272,0.075163,0.006302,-0.000006,0.416883,0.037439,0.247867
0.8800,0.091779,0.070739,0.073199,0.005423,-0.000006,0.416990,0.038379,0.248506
0.9000,0.093988,0.071220,0.071221,0.004538,-0.000006,0.417096,0.039318,0.249144
0.9200,0.096194,0.071716,0.069230,0.003649,-0.000006,0.417202,0.040257,0.249783
0.9400,0.098398,0.072227,0.067225,0.002754,-0.000006,0.417307,0.041195,0.250421
0.9600,0.100599,0.072753,0.065206,0.001854,-0.000006,0.417412,0.042134,0.251058
0.9800,0.102798,0.073294,0.063173,0.000948,-0.000005,0.417516,0.043072,0.251696
1.0000,0.104993,0.073850,0.061126,0.000038,-0.000005,0.417621,0.044009,0.252333
1.0200,0.107186,0.074420,0.059066,-0.000878,-0.000005,0.417724,0.044946,0.252969
1.0400,0.109376,0.075006,0.056991,-0.001798,-0.000005,0.417828,0.045883,0.253605
1.0600,0.111563,0.075606,0.054902,-0.002724,-0.000005,0.417931,0.046820,0.254241
1.0800,0.113748,0.076221,0.052799,-0.003655,-0.000005,0.418034,0.047756,0.254877
1.1000,0.115929,0.076852,0.050682,-0.004591,-0.000004,0.418136,0.048692,0.255512
1.1200,0.118107,0.077497,0.048551,-0.005532,-0.000004,0.418238,0.049628,0.256146
1.1400,0.120283,0.078158,0.046405,-0.006478,-0.000004,0.418340,0.050563,0.256781
1.1600,0.122456,0.078833,0.044245,-0.007430,-0.000004,0.418441,0.051498,0.257414
1.1800,0.124625,0.079524,0.042071,-0.008386,-0.000004,0.418542,0.052433,0.258048
1.2000,0.126792,0.080230,0.039883,-0.009347,-0.000004,0.418642,0.053367,0.258681
1.2200,0.128955,0.080951,0.037680,-0.010313,-0.000004,0.418743,0.054300,0.259313
1.2400,0.131116,0.081687,0.035463,-0.011284,-0.000004,0.418843,0.055234,0.259946
1.2600,0.133273,0.082438,0.033231,-0.012261,-0.000003,0.418942,0.056167,0.260577
1.2800,0.135427,0.083205,0.030984,-0.013242,-0.000003,0.419042,0.057099,0.261209
1.3000,0.137578,0.083987,0.028723,-0.014228,-0.000003,0.419141,0.058031,0.261840
1.3200,0.139726,0.084784,0.026448,-0.015219,-0.000003,0.419240,0.058963,0.262470
1.3400,0.141871,0.085597,0.024157,-0.016214,-0.000003,0.419338,0.059894,0.263100
1.3600,0.144012,0.086424,0.021852,-0.017215,-0.000003,0.419436,0.060825,0.263730
1.3800,0.146150,0.087268,0.019532,-0.018221,-0.000003,0.419534,0.061755,0.264359
1.4000,0.148285,0.088126,0.017197,-0.019231,-0.000003,0.419632,0.062685,0.264987
1.4200,0.150417,0.089000,0.014848,-0.020246,-0.000003,0.419729,0.063615,0.265615
1.4400,0.152545,0.089890,0.012483,-0.021266,-0.000003,0.419826,0.064544,0.266243
1.4600,0.154670,0.090795,0.010103,-0.022291,-0.000003,0.419923,0.065472,0.266870
1.4800,0.156791,0.091715,0.007708,-0.023321,-0.000002,0.420019,0.066400,0.267497
1.5000,0.158909,0.092651,0.005298,-0.024355,-0.000002,0.420116,0.067328,0.268123
1.5200,0.161023,0.093603,0.002873,-0.025394,-0.000002,0.420212,0.068255,0.268749
1.5400,0.163134,0.094570,0.000433,-0.026438,-0.000002,0.420307,0.069181,0.269374
1.5600,0.165241,0.095553,-0.002023,-0.027486,-0.000002,0.420403,0.070107,0.269998
1.5800,0.167345,0.096551,-0.004494,-0.028539,-0.000002,0.420498,0.071033,0.270622
1.6000,0.169445,0.097566,-0.006981,-0.029597,-0.000002,0.420594,0.071958,0.271246
1.6200,0.171542,0.098596,-0.009483,-0.030659,-0.000002,0.420688,0.072882,0.271869
1.6400,0.173635,0.099641,-0.012001,-0.031726,-0.000002,0.420783,0.073806,0.272492
1.6600,0.175724,0.100703,-0.014534,-0.032798,-0.000002,0.420878,0.074729,0.273113
1.6800,0.177809,0.101780,-0.017083,-0.033874,-0.000002,0.420972,0.075652,0.273735
1.7000,0.179891,0.102874,-0.019648,-0.034955,-0.000002,0.421066,0.076574,0.274356
1.7200,0.181969,0.103983,-0.022229,-0.036040,-0.000002,0.421160,0.077495,0.274976
1.7400,0.184043,0.105108,-0.024826,-0.037130,-0.000002,0.421254,0.078416,0.275596
1.7600,0.186113,0.106249,-0.027439,-0.038224,-0.000002,0.421347,0.079336,0.276215
1.7800,0.188179,0.107406,-0.030067,-0.039322,-0.000001,0.421441,0.080256,0.276833
1.8000,0.190242,0.108580,-0.032712,-0.040426,-0.000001,0.421534,0.081175,0.277451
1.8200,0.192300,0.109769,-0.035373,-0.041533,-0.000001,0.421627,0.082093,0.278068
1.8400,0.194354,0.110975,-0.038051,-0.042645,-0.000001,0.421720,0.083011,0.278685
1.8600,0.196405,0.112197,-0.040745,-0.043761,-0.000001,0.421813,0.083928,0.279301
1.8800,0.198451,0.113435,-0.043455,-0.044882,-0.000001,0.421906,0.084844,0.279916
1.9000,0.200493,0.114689,-0.046182,-0.046007,-0.000001,0.421999,0.085760,0.280531
1.9200,0.202531,0.115959,-0.048925,-0.047136,-0.000001,0.422091,0.086675,0.281145
1.9400,0.204565,0.117246,-0.051686,-0.048270,-0.000001,0.422184,0.087589,0.281758
1.9600,0.206595,0.118550,-0.054463,-0.049408,-0.000001,0.422276,0.088503,0.282371
