time,waist,shoulder,elbow,wrist_angle,wrist_rotate,ee_x,ee_y,ee_z,clearance_m,nearest_arm_body,nearest_obstacle
0.0000,-0.001534,0.055223,0.124252,0.024544,0.000000,0.413036,-0.000634,0.233929,0.02684,upper_arm_link,arm_base_link
0.0201,-0.001534,0.055223,0.124252,0.024544,0.000000,0.413036,-0.000634,0.233929,0.02684,upper_arm_link,arm_base_link
0.0401,-0.001534,0.055223,0.124252,0.024544,0.000000,0.413036,-0.000634,0.233929,0.02684,upper_arm_link,arm_base_link
0.0601,0.000000,0.056757,0.124252,0.024544,0.000000,0.413234,0.000000,0.233295,0.02684,upper_arm_link,arm_base_link
0.0801,0.000000,0.055223,0.124252,0.024544,0.000000,0.413036,0.000000,0.233929,0.02683,upper_arm_link,arm_base_link
0.1001,0.001534,0.056757,0.124252,0.024544,0.000000,0.413234,0.000634,0.233295,0.02683,upper_arm_link,arm_base_link
0.1201,0.001534,0.056757,0.124252,0.024544,0.000000,0.413234,0.000634,0.233295,0.02683,upper_arm_link,arm_base_link
0.1401,0.003068,0.055223,0.124252,0.024544,0.000000,0.413035,0.001267,0.233929,0.02681,upper_arm_link,arm_base_link
0.1601,0.003068,0.055223,0.124252,0.024544,0.000000,0.413035,0.001267,0.233929,0.02681,upper_arm_link,arm_base_link
0.1801,0.004602,0.056757,0.124252,0.024544,0.000000,0.413230,0.001902,0.233295,0.02681,upper_arm_link,arm_base_link
0.2001,0.006136,0.055223,0.124252,0.024544,0.000000,0.413029,0.002534,0.233929,0.02680,upper_arm_link,arm_base_link
0.2201,0.007670,0.055223,0.124252,0.023010,0.000000,0.413073,0.003168,0.234167,0.02677,upper_arm_link,arm_base_link
0.2401,0.009204,0.055223,0.124252,0.021476,0.000000,0.413117,0.003802,0.234406,0.02677,upper_arm_link,arm_base_link
0.2601,0.010738,0.055223,0.124252,0.021476,0.000000,0.413111,0.004436,0.234406,0.02677,upper_arm_link,arm_base_link
0.2801,0.012272,0.056757,0.124252,0.019942,0.000000,0.413350,0.005073,0.234010,0.02673,upper_arm_link,arm_base_link
0.3001,0.013806,0.055223,0.124252,0.019942,0.000000,0.413143,0.005704,0.234644,0.02677,upper_arm_link,arm_base_link
0.3202,0.016874,0.055223,0.124252,0.019942,0.000000,0.413124,0.006972,0.234644,0.02670,upper_arm_link,arm_base_link
0.3401,0.018408,0.056757,0.124252,0.019942,0.000000,0.413311,0.007609,0.234010,0.02677,upper_arm_link,arm_base_link
0.3601,0.021476,0.055223,0.124252,0.019942,0.000000,0.413087,0.008873,0.234644,0.02674,upper_arm_link,arm_base_link
0.3802,0.024544,0.056757,0.124252,0.019942,0.000000,0.413257,0.010145,0.234010,0.02674,upper_arm_link,arm_base_link
0.4002,0.027612,0.055223,0.124252,0.018408,0.000000,0.413073,0.011409,0.234883,0.02672,upper_arm_link,arm_base_link
0.4202,0.029146,0.056757,0.124252,0.018408,0.000000,0.413254,0.012048,0.234249,0.02672,upper_arm_link,arm_base_link
0.4401,0.032214,0.055223,0.124252,0.016874,0.000000,0.413064,0.013311,0.235121,0.02670,upper_arm_link,arm_base_link
0.4601,0.033748,0.056757,0.122718,0.016874,0.000000,0.413345,0.013955,0.235027,0.02669,upper_arm_link,arm_base_link
0.4802,0.035282,0.055223,0.122718,0.015340,0.000000,0.413170,0.014583,0.235900,0.02665,upper_arm_link,arm_base_link
0.5002,0.038350,0.055223,0.122718,0.015340,0.000000,0.413123,0.015851,0.235900,0.02666,upper_arm_link,arm_base_link
0.5202,0.039884,0.055223,0.122718,0.013806,0.000000,0.413145,0.016486,0.236139,0.02667,upper_arm_link,arm_base_link
0.5401,0.041417,0.056757,0.122718,0.013806,0.000000,0.413320,0.017128,0.235505,0.02669,upper_arm_link,arm_base_link
0.5601,0.044485,0.055223,0.122718,0.012272,0.000000,0.413111,0.018390,0.236378,0.02669,upper_arm_link,arm_base_link
0.5801,0.044485,0.056757,0.122718,0.012272,0.000000,0.413312,0.018398,0.235743,0.02670,upper_arm_link,arm_base_link
0.6002,0.047553,0.055223,0.124252,0.012272,0.000000,0.412952,0.019652,0.235837,0.02671,upper_arm_link,arm_base_link
0.6202,0.049087,0.055223,0.122718,0.012272,0.000000,0.413022,0.020290,0.236378,0.02672,upper_arm_link,arm_base_link
0.6401,0.050621,0.055223,0.124252,0.012272,0.000000,0.412889,0.020919,0.235837,0.02664,upper_arm_link,arm_base_link
0.6601,0.052155,0.055223,0.122718,0.012272,0.000000,0.412957,0.021557,0.236378,0.02664,upper_arm_link,arm_base_link
0.6801,0.053689,0.056757,0.122718,0.012272,0.000000,0.413125,0.022202,0.235743,0.02661,upper_arm_link,arm_base_link
0.7002,0.056757,0.056757,0.122718,0.012272,0.000000,0.413055,0.023469,0.235743,0.02662,upper_arm_link,arm_base_link
0.7202,0.058291,0.055223,0.122718,0.012272,0.000000,0.412817,0.024091,0.236378,0.02662,upper_arm_link,arm_base_link
0.7401,0.059825,0.055223,0.122718,0.010738,0.000000,0.412826,0.024727,0.236617,0.02663,upper_arm_link,arm_base_link
0.7601,0.061359,0.055223,0.122718,0.009204,0.000000,0.412833,0.025363,0.236856,0.02659,upper_arm_link,arm_base_link
0.7802,0.062893,0.055223,0.122718,0.009204,0.000000,0.412793,0.025996,0.236856,0.02662,upper_arm_link,arm_base_link
0.8002,0.064427,0.055223,0.122718,0.009204,0.000000,0.412753,0.026629,0.236856,0.02663,upper_arm_link,arm_base_link
0.8202,0.067495,0.056757,0.122718,0.007670,0.000000,0.412916,0.027912,0.236460,0.02660,upper_arm_link,arm_base_link
0.8401,0.069029,0.055223,0.122718,0.007670,0.000000,0.412671,0.028532,0.237095,0.02659,upper_arm_link,arm_base_link
0.8601,0.070563,0.056757,0.119651,0.007670,0.000000,0.413026,0.029193,0.237542,0.02661,upper_arm_link,arm_base_link
0.8801,0.073631,0.056757,0.118117,0.007670,0.000000,0.413033,0.030467,0.238083,0.02656,upper_arm_link,arm_base_link
0.9002,0.075165,0.055223,0.115049,0.006136,0.000000,0.413015,0.031103,0.240041,0.02662,upper_arm_link,arm_base_link
0.9201,0.076699,0.056757,0.110447,0.006136,0.000000,0.413455,0.031774,0.241032,0.02655,upper_arm_link,arm_base_link
0.9401,0.078233,0.056757,0.107379,0.004602,0.000000,0.413631,0.032426,0.242356,0.02656,upper_arm_link,arm_base_link
0.9601,0.081301,0.055223,0.102777,0.004602,0.000000,0.413584,0.033699,0.244621,0.02658,upper_arm_link,arm_base_link
0.9801,0.082835,0.055223,0.099709,0.003068,0.000000,0.413743,0.034351,0.245947,0.02660,upper_arm_link,arm_base_link
1.0002,0.084369,0.056757,0.095107,0.003068,0.000000,0.414160,0.035025,0.246940,0.02652,upper_arm_link,arm_base_link
1.0202,0.085903,0.056757,0.092039,0.003068,0.000000,0.414272,0.035675,0.248028,0.02654,upper_arm_link,arm_base_link
1.0401,0.087437,0.056757,0.088971,0.001534,0.000000,0.414414,0.036328,0.249356,0.02655,upper_arm_link,arm_base_link
1.0601,0.088971,0.055223,0.087437,0.001534,0.000000,0.414216,0.036951,0.250539,0.02655,upper_arm_link,arm_base_link
1.0801,0.090505,0.055223,0.085903,0.001534,0.000000,0.414236,0.037593,0.251083,0.02657,upper_arm_link,arm_base_link
1.1003,0.093573,0.055223,0.085903,0.000000,0.000000,0.414153,0.038867,0.251324,0.02661,upper_arm_link,arm_base_link
1.1202,0.095107,0.055223,0.085903,0.000000,0.000000,0.414093,0.039502,0.251324,0.02654,upper_arm_link,arm_base_link
1.1402,0.096641,0.056757,0.085903,0.000000,0.000000,0.414255,0.040159,0.250686,0.02650,upper_arm_link,arm_base_link
1.1602,0.098175,0.055223,0.085903,0.000000,0.000000,0.413970,0.040772,0.251324,0.02653,upper_arm_link,arm_base_link
1.1802,0.099709,0.056757,0.085903,0.000000,0.000000,0.414130,0.041430,0.250686,0.02649,upper_arm_link,arm_base_link
1.2001,0.101243,0.055223,0.085903,0.000000,0.000000,0.413843,0.042042,0.251324,0.02656,upper_arm_link,arm_base_link
1.2201,0.102777,0.056757,0.085903,-0.001534,0.000000,0.414035,0.042704,0.250926,0.02656,upper_arm_link,arm_base_link
