mode,experiment,time,cmd_waist,cmd_shoulder,cmd_elbow,cmd_wrist_angle,cmd_wrist_rotate,q_waist,q_shoulder,q_elbow,q_wrist_angle,q_wrist_rotate,qd_waist,qd_shoulder,qd_elbow,qd_wrist_angle,qd_wrist_rotate,tau_waist,tau_shoulder,tau_elbow,tau_wrist_angle,tau_wrist_rotate,ee_x,ee_y,ee_z
intvelocity,hold,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,2.9e-05,6e-05,6e-06,0.0,1e-06,0.014358,0.030039,0.002801,0.0,0.0,0.0,0.0,0.0,0.0,0.408575,0.0,0.31065
intvelocity,hold,0.0020,0.0,0.0,0.0,0.0,0.0,0.0,8.3e-05,0.000174,1.6e-05,0.0,2e-06,0.027033,0.056763,0.005084,0.0,-1.1e-05,-0.128004,-0.091035,-0.003514,-0.0,0.408581,0.0,0.310616
intvelocity,hold,0.0040,0.0,0.0,0.0,0.0,0.0,0.0,0.000159,0.000334,3e-05,0.0,3e-06,0.038173,0.080396,0.006938,0.0,-1.9e-05,-0.24592,-0.175526,-0.006512,-0.0,0.408592,0.0,0.310551
intvelocity,hold,0.0060,0.0,0.0,0.0,0.0,0.0,0.0,0.000255,0.000537,4.7e-05,0.0,3e-06,0.047909,0.101159,0.008437,0.0,-2.5e-05,-0.354496,-0.253764,-0.009082,-0.0,0.408607,0.0,0.31046
intvelocity,hold,0.0080,0.0,0.0,0.0,0.0,0.0,0.0,0.000368,0.000775,6.6e-05,0.0,3e-06,0.056364,0.119267,0.009645,1e-06,-2.9e-05,-0.454388,-0.326058,-0.011297,-1e-06,0.408626,0.0,0.310346
intvelocity,hold,0.0100,0.0,0.0,0.0,0.0,0.0,0.0,0.000495,0.001045,8.7e-05,0.0,3e-06,0.063646,0.134929,0.010611,1e-06,-3.2e-05,-0.546186,-0.392727,-0.013218,-1e-06,0.408648,0.0,0.310211
intvelocity,hold,0.0120,0.0,0.0,0.0,0.0,0.0,0.0,0.000635,0.001342,0.00011,0.0,3e-06,0.069856,0.148341,0.01138,1e-06,-3.3e-05,-0.630427,-0.454091,-0.014895,-1e-06,0.408674,0.0,0.310059
intvelocity,hold,0.0140,0.0,0.0,0.0,0.0,0.0,0.0,0.000785,0.001661,0.000134,0.0,3e-06,0.075087,0.159692,0.011986,0.0,-3.4e-05,-0.707612,-0.510464,-0.016371,-1e-06,0.408701,0.0,0.309892
intvelocity,hold,0.0160,0.0,0.0,0.0,0.0,0.0,0.0,0.000944,0.001999,0.00016,0.0,3e-06,0.079403,0.169076,0.012943,0.0,-3.4e-05,-0.778205,-0.562155,-0.017681,-1e-06,0.408731,0.0,0.309712
intvelocity,hold,0.0180,0.0,0.0,0.0,0.0,0.0,0.0,0.001109,0.002352,0.00019,0.0,3e-06,0.082835,0.176514,0.015192,0.0,-3.4e-05,-0.842421,-0.609207,-0.019459,-1e-06,0.408762,0.0,0.309522
intvelocity,hold,0.0200,0.0,0.0,0.0,0.0,0.0,0.0,0.00128,0.002717,0.000227,0.0,2e-06,0.085485,0.182267,0.01834,0.0,-3.2e-05,-0.900249,-0.651457,-0.022904,-1e-06,0.408795,0.0,0.309323
intvelocity,hold,0.0220,0.0,0.0,0.0,0.0,0.0,0.0,0.001455,0.00309,0.000271,0.0,2e-06,0.087443,0.186556,0.022072,0.0,-3.1e-05,-0.952273,-0.689468,-0.027584,-1e-06,0.408828,0.0,0.309117
intvelocity,hold,0.0240,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.003469,0.000323,0.0,2e-06,0.08879,0.189567,0.026137,0.0,-2.9e-05,-0.999034,-0.723708,-0.033149,-1e-06,0.408862,0.0,0.308904
intvelocity,hold,0.0260,0.0,0.0,0.0,0.0,0.0,0.0,0.001812,0.003852,0.000384,0.0,1e-06,0.089601,0.191463,0.030339,0.0,-2.6e-05,-1.041028,-0.754579,-0.039312,-1e-06,0.408897,0.0,0.308687
intvelocity,hold,0.0280,0.0,0.0,0.0,0.0,0.0,0.0,0.001992,0.004237,0.000453,0.0,1e-06,0.089942,0.192383,0.034526,0.0,-2.3e-05,-1.078704,-0.78242,-0.045843,-0.0,0.408931,0.0,0.308467
intvelocity,hold,0.0300,0.0,0.0,0.0,0.0,0.0,0.0,0.002172,0.004622,0.00053,0.0,1e-06,0.089872,0.192451,0.038579,0.0,-2.1e-05,-1.112466,-0.807526,-0.052557,-0.0,0.408966,0.0,0.308245
intvelocity,hold,0.0320,0.0,0.0,0.0,0.0,0.0,0.0,0.00235,0.005005,0.000615,0.0,0.0,0.089443,0.191772,0.042412,0.0,-1.8e-05,-1.14268,-0.830155,-0.059306,-0.0,0.409,0.0,0.308021
intvelocity,hold,0.0340,0.0,0.0,0.0,0.0,0.0,0.0,0.002528,0.005386,0.000707,0.0,-0.0,0.088702,0.190442,0.045962,0.0,-1.5e-05,-1.169673,-0.850531,-0.065973,-0.0,0.409035,0.0,0.307797
intvelocity,hold,0.0360,0.0,0.0,0.0,0.0,0.0,0.0,0.002703,0.005763,0.000805,0.0,-0.0,0.087691,0.188544,0.049183,0.0,-1.3e-05,-1.193738,-0.868853,-0.07247,-0.0,0.409068,0.0,0.307573
intvelocity,hold,0.0380,0.0,0.0,0.0,0.0,0.0,0.0,0.002876,0.006136,0.000909,0.0,-1e-06,0.086447,0.186151,0.052047,0.0,-1e-05,-1.215139,-0.885297,-0.078726,-0.0,0.409101,0.0,0.307351
intvelocity,hold,0.0400,0.0,0.0,0.0,0.0,0.0,0.0,0.003046,0.006502,0.001018,0.0,-1e-06,0.085003,0.183331,0.05454,-0.0,-8e-06,-1.234114,-0.900024,-0.084691,-0.0,0.409134,0.0,0.30713
intvelocity,hold,0.0420,0.0,0.0,0.0,0.0,0.0,0.0,0.003213,0.006862,0.001132,0.0,-1e-06,0.083387,0.180141,0.056654,-0.0,-6e-06,-1.250878,-0.913174,-0.090327,-0.0,0.409166,0.0,0.306912
intvelocity,hold,0.0440,0.0,0.0,0.0,0.0,0.0,0.0,0.003376,0.007216,0.001248,0.0,-1e-06,0.081628,0.176636,0.058393,-0.0,-4e-06,-1.265623,-0.924877,-0.095609,-0.0,0.409197,0.0,0.306696
intvelocity,hold,0.0460,0.0,0.0,0.0,0.0,0.0,0.0,0.003536,0.007561,0.001368,0.0,-1e-06,0.079747,0.172861,0.059764,-0.0,-2e-06,-1.278526,-0.935251,-0.100521,-0.0,0.409228,0.0,0.306484
intvelocity,hold,0.0480,0.0,0.0,0.0,0.0,0.0,0.0,0.003691,0.007899,0.001489,0.0,-1e-06,0.077766,0.168861,0.060781,-0.0,-1e-06,-1.289747,-0.944401,-0.105057,-0.0,0.409257,0.0,0.306276
intvelocity,hold,0.0500,0.0,0.0,0.0,0.0,0.0,0.0,0.003843,0.008229,0.001612,0.0,-1e-06,0.075703,0.164673,0.061459,-0.0,1e-06,-1.299429,-0.952427,-0.109213,-0.0,0.409286,0.0,0.306072
intvelocity,hold,0.0520,0.0,0.0,0.0,0.0,0.0,0.0,0.00399,0.008549,0.001736,0.0,-1e-06,0.073576,0.160332,0.061818,-0.0,2e-06,-1.307707,-0.959418,-0.112995,-0.0,0.409314,0.0,0.305872
intvelocity,hold,0.0540,0.0,0.0,0.0,0.0,0.0,0.0,0.004133,0.008861,0.00186,0.0,-2e-06,0.071399,0.15587,0.061878,-0.0,3e-06,-1.314701,-0.965457,-0.116408,-0.0,0.409341,0.0,0.305678
intvelocity,hold,0.0560,0.0,0.0,0.0,0.0,0.0,0.0,0.004271,0.009164,0.001983,0.0,-2e-06,0.069186,0.151313,0.061661,-0.0,4e-06,-1.320524,-0.97062,-0.119465,-0.0,0.409367,0.0,0.305488
intvelocity,hold,0.0580,0.0,0.0,0.0,0.0,0.0,0.0,0.004405,0.009457,0.002106,0.0,-2e-06,0.066949,0.146689,0.06119,-0.0,5e-06,-1.325277,-0.97498,-0.122177,-0.0,0.409392,0.0,0.305303
intvelocity,hold,0.0600,0.0,0.0,0.0,0.0,0.0,0.0,0.004534,0.009741,0.002226,0.0,-2e-06,0.064698,0.142018,0.060486,-0.0,6e-06,-1.329055,-0.978602,-0.124558,0.0,0.409416,0.0,0.305124
intvelocity,hold,0.0620,0.0,0.0,0.0,0.0,0.0,0.0,0.004659,0.010016,0.002346,0.0,-2e-06,0.062444,0.137323,0.059571,-0.0,6e-06,-1.331946,-0.981546,-0.126626,0.0,0.409439,0.0,0.30495
intvelocity,hold,0.0640,0.0,0.0,0.0,0.0,0.0,0.0,0.00478,0.010281,0.002463,0.0,-2e-06,0.060193,0.132622,0.058469,-0.0,7e-06,-1.334029,-0.983871,-0.128396,0.0,0.409462,0.0,0.304781
intvelocity,hold,0.0660,0.0,0.0,0.0,0.0,0.0,0.0,0.004895,0.010537,0.002577,0.0,-2e-06,0.057955,0.12793,0.057198,-0.0,7e-06,-1.335379,-0.985629,-0.129886,0.0,0.409483,0.0,0.304618
intvelocity,hold,0.0680,0.0,0.0,0.0,0.0,0.0,0.0,0.005007,0.010783,0.002689,0.0,-1e-06,0.055736,0.123264,0.055781,-0.0,7e-06,-1.336066,-0.98687,-0.131112,0.0,0.409504,0.0,0.304461
intvelocity,hold,0.0700,0.0,0.0,0.0,0.0,0.0,0.0,0.005114,0.011021,0.002797,0.0,-1e-06,0.053541,0.118635,0.054235,-0.0,8e-06,-1.336152,-0.987639,-0.132092,0.0,0.409524,0.0,0.304309
intvelocity,hold,0.0720,0.0,0.0,0.0,0.0,0.0,0.0,0.005217,0.011249,0.002902,0.0,-1e-06,0.051377,0.114057,0.05258,-0.0,8e-06,-1.335698,-0.98798,-0.132843,0.0,0.409543,0.0,0.304163
intvelocity,hold,0.0740,0.0,0.0,0.0,0.0,0.0,0.0,0.005315,0.011468,0.003004,0.0,-1e-06,0.049246,0.109539,0.050833,-0.0,8e-06,-1.334757,-0.987933,-0.133383,0.0,0.409561,0.0,0.304022
intvelocity,hold,0.0760,0.0,0.0,0.0,0.0,0.0,0.0,0.00541,0.011678,0.003102,0.0,-1e-06,0.047154,0.105091,0.049009,-0.0,8e-06,-1.333382,-0.987536,-0.133726,0.0,0.409578,0.0,0.303887
